title,bookID,author,rating,ratingsCount,reviewsCount
"The Belgariad, Vol. Two: Castle of Wizardry / Enchanters' End Game (The Belgariad, #4-5)",18879,David Eddings,4.37,6558,130
Meeting God in Quiet,18685,Ruth Goring,0,0,0
Meeting God in Relationships,18681,Ruth Goring,5,2,0
"Lighthouses of the Pacific Coast: Your Guide to the Lighthouses of California, Oregon, and Washington",18863,Randy Leffingwell,4.06,17,0
"The Malloreon, Vol. 2: Sorceress of Darshiva / The Seeress of Kell (The Malloreon, #4-5)",18882,David Eddings,4.34,4950,58
"The Younger Gods (The Dreamers, #4)",18880,David Eddings,3.29,4401,90
"The Malloreon, Vol. 1: Guardians of the West / King of the Murgos / Demon Lord of Karanda (The Malloreon, #1-3)",18881,David Eddings,4.32,4398,76
Meeting God Again,18691,Mark Yurs,0,0,0
Meeting God in Busyness,18686,Juanita Ryan,0,0,0
Meeting God At The Boundaries: Cross Cultural Cross Racial Clergy Appointments,18693,Lucia Ann McSpadden,3,2,0
Meeting God in Forgiveness,18692,Stephen D. Eyre,0,0,0
Meeting God at the Boundaries: A Manual for Church Leaders,18690,"Lucia, Ann McSpadden",5,1,1
Jonah: Meeting the God of the Second Chance,18688,O.S. Hawkins,3.83,6,0
"Meeting God in the Lion, the Witch, and the Wardrobe",18689,Sara McLaughlin,0,0,0
Meeting God In Man,18687,Ladislaus Boros,5,1,1
Meeting God in the breakdown lane: Stories from the journey,18695,Al Anderson,4,2,1
Meeting God at Every Turn,18696,Catherine Marshall,4.36,196,11
Yellow Brick Roads: Shared and Guided Paths to Independent Reading 4-12,18706,Janet Allen,4,219,19
My Life,18703,Bill Clinton,3.72,37730,1082
Beyond the Yellow Brick Road: Our Children and Drugs,18707,Bob Meehan,4,9,1
"My Life, Volume I: The Early Years",18700,Bill Clinton,3.77,177,15
A Month by Month Guide to Entertaining Angels,18697,Mark G. Boyer,0,0,0
Along the Way: Meeting God and Neighbor in Unexpected Places,18698,Linda L. Pickens-Jones,0,0,0
My Life: Part One,18704,Bill Clinton,3.72,37730,1082
"My Life Bill Clinton (My Life, Parts 1 and 2)",18701,Bill Clinton,3.72,37730,1082
My Life,18699,Bill Clinton,3.72,37730,1082
"Follow the Yellow Brick Road: Learning to Give, Take, and Use Instructions",18716,Richard Saul Wurman,3.92,12,2
"Murder on the Yellow Brick Road (Toby Peters, #2)",18710,Stuart M. Kaminsky,3.59,512,49
"Good-bye, yellow brick road: A memoir of the sexual revolution in the seventies",18713,Anthony Cowan,0,0,0
Beyond the Yellow Brick Road: Our Child,18711,Bob Meehan,0,0,0
Not a book Goodbye Yellow Brick Road,18717,Elton John,0,0,0
Following the Yellow Brick Road: The Adult Child's Personal Journey Through Oz,18715,Joy Miller,4,5,0
Beyond the Yellow Brick Road,18714,Barbara J. Mosher,3.5,2,1
Secrets of the Yellow Brick Road: A Map for the Modern Spiritual Journey,18712,Jesse Stewart,4,4,0
The Yellow Brick Road: A Storytellers Approach To The Spiritual Journey,18708,William J. Bausch,3.47,17,0
Action Research for Teachers: Traveling the Yellow Brick Road,18709,Mary Louise Holly,3.27,15,4
"lastnightsparty: ""Where Were You Last Night?""",18755,Merlin Bronques,3.69,13,3
My First Days in the White House,1980941,Huey Long,3.73,22,3
Teachers Have It Easy: The Big Sacrifices And Small Salaries Of America's Teachers,18744,Daniel Moulthrop,3.67,358,71
Follow The Yellow Brick Road: The Five Disciplines Of People Who Actually Change,18719,Sam Alibrando,2.5,2,1
Half of a Yellow Sun,18749,Chimamanda Ngozi Adichie,4.28,58688,5427
Female Chauvinist Pigs: Women and the Rise of Raunch Culture,18745,Ariel Levy,3.67,8481,829
Color Correction for Digital Photographers Only,18748,Ted Padova,3.8,5,0
Masterwork Studies Series: Civilization and Its Discontents: An Anthropology for the Future,18764,Thomas Parisi,0,0,0
Down the Yellow Brick Road:The Making of The Wizard of Oz,18718,Doug McClelland,4.14,7,2
Confessions of a (Female) Chauvinist,18746,Rosemary Daniell,4.38,8,3
Beyond the Post-Modern Mind: The Place of Meaning in a Global Civilization,18772,Huston Smith,4.17,69,10
The Modern Mind: An Intellectual History of the 20th Century,18770,Peter Watson,4.25,557,55
"I, Claudius/Claudius the God  (Claudius #1-2)",18769,Robert Graves,4.42,2444,93
Origins of the Modern Mind: Three Stages in the Evolution of Culture and Cognition,18771,Merlin Donald,4.18,68,7
"I, Claudius",18766,Robert Graves,4.27,42523,1919
Ancient Greek Psychology and the Modern Mind-Body Debate,18773,Erik Nis Ostenfeld,3,1,0
A Arte De Reviver: Crônicas,18782,MANOEL CARLOS,3,1,0
Reviver O Papa Em Portugal: 1982   1991   2000.,18783,LUSA - Agência de Notícias de Portugal,0,0,0
"I, Claudius (Claudius, #1)",18765,Robert Graves,4.27,42524,1919
William Faulkner: The Making of a Modernist,18780,Daniel J. Singal,4,10,0
Interrogating the Real,18909,Slavoj Žižek,3.87,193,18
